name,cooking_time,author,image_name,text
Капустные оладьи,40,1,oladi,"Простое блюдо из продуктов, которые есть в каждом холодильнике. Отличный вариант для тех, кто старается похудеть, ведь сытные оладьи содержат совсем мало калорий"
Глазунья с сосисками,15,1,glazunya,"Яичницу из перепелиных яиц можно оформить необычно — в виде цветков. В середине находятся желтки и белки, а вместо лепестков — нарезанная сосиска. Вкусно и красиво!"
Жаркое по-деревенски,60,1,zharkoe,"Простое, но очень ароматное и вкусное блюдо для семейного обеда или ужина"
Теплый бутерброд с рыбой и яйцом,20,1,buterbrod,"Быстрый завтрак отлично насыщает. Для его приготовления лучше использовать сковороду с антипригарным покрытием"
Омлет с овощами,12,2,omlet,"Чудесный завтрак можно делать каждый день, чередуя помидоры с болгарским перцем, луком-пореем или баклажанами. Такая еда никогда не надоест"
Макароны с копчёными колбасками в томатно-сливочном соусе,30,3,makaroni,"Хотите рецепт идеального ужина? Он перед вами. Макароны с копчёными колбасками и приятным соусом из сливок и помидоров готовятся быстро. Благодаря соусу обычные макароны становятся нежными, сочными и очень вкусными. Копчёные колбаски, чеснок и базилик добавляют блюду аппетитный аромат, а сыр - только усиливает его сливочный вкус"
Красный борщ,140,4,borsh,"Знаменитый красный борщ любят за особенный аромат, удивительный вкус и насыщенный цвет. Идеальное сочетание овощей придают красному борщу тот индивидуальный вкус, благодаря которому он входит в список самых известных супов мира. Борщ подают в дорогих ресторанах и готовят дома. Всякий раз, когда есть возможность попробовать борщ, мы выбираем именно его"
Щи из свежей капусты с помидорами,80,5,shi,"Густые, аппетитные и наваристые щи из свежей капусты можно готовить как летом, так и в любое другое время года. Это замечательный сытный обед, который поможет забыть о голоде на длительное время"
Супервлажный шоколадный торт,60,6,tort,"Очень удачный рецепт супервлажного шоколадного торта из того, что всегда есть в холодильнике у каждой хозяйки. Готовится шоколадный пирог без яиц и без сливочного масла, поэтому получается недорогим, но очень вкусным, и имеет насыщенный шоколадный вкус"
Домашний лимонад,15,7,limonad,Вкусный, "Освежающий домашний лимонад из апельсинов и лимонов, на приготовление которого вы потратите всего 15 минут"